명칭,위도,경도,,,,,,,,,,,,,,,,,,,,
㈜키뮤,37.5633415,127.0371025,,,,,,,,,,,,,,,,,,,,
㈜미러로이드,37.4837121,127.0324112,,,,,,,,,,,,,,,,,,,,
나모웹비즈㈜,37.485438,127.1193708,,,,,,,,,,,,,,,,,,,,
㈜프로키온,37.5263715,126.8962283,,,,,,,,,,,,,,,,,,,,
㈜퍼플120,37.5640907,126.9979403,,,,,,,,,,,,,,,,,,,,
성태빌,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜파운트,37.5554652,126.9737482,,,,,,,,,,,,,,,,,,,,
㈜시큐어레터,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
스마트인잡,37.6396099,127.0256575,,,,,,,,,,,,,,,,,,,,
㈜스프레틱스,37.645032,126.9248584,,,,,,,,,,,,,,,,,,,,
㈜탑코,37.5077414,127.0581913,,,,,,,,,,,,,,,,,,,,
바이로큐어㈜,37.4954031,126.887369,,,,,,,,,,,,,,,,,,,,
㈜스키아,37.4835267,126.8954883,,,,,,,,,,,,,,,,,,,,
케어링주식회사㈜,37.5091134,127.0226291,,,,,,,,,,,,,,,,,,,,
주식회사 인비전아이티,37.5129459,127.0187948,,,,,,,,,,,,,,,,,,,,
㈜한국원격평생교육원,37.4823711,126.8972692,,,,,,,,,,,,,,,,,,,,
㈜케이큐엔터테인먼트,37.5582787,126.921142,,,,,,,,,,,,,,,,,,,,
㈜메디케어텍,37.589116,127.0182146,,,,,,,,,,,,,,,,,,,,
㈜모닛셀,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜스위트바이오,37.5358218,126.8969912,,,,,,,,,,,,,,,,,,,,
더치트㈜,37.4851155,126.8987983,,,,,,,,,,,,,,,,,,,,
㈜트래블월렛,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
올보이스㈜,37.5637561,126.9084211,,,,,,,,,,,,,,,,,,,,
한국batowa,37.512402,126.9392525,,,,,,,,,,,,,,,,,,,,
㈜바이오소닉스,37.589116,127.0182146,,,,,,,,,,,,,,,,,,,,
㈜어바웃굿즈,37.5412157,126.973444,,,,,,,,,,,,,,,,,,,,
㈜레인포컴퍼니,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜에스더블유에이,37.5633415,127.0371025,,,,,,,,,,,,,,,,,,,,
올웨이브텍㈜,,,,,,,,,,,,,,,,,,,,,,
㈜아보룩스,37.5801248,126.8889591,,,,,,,,,,,,,,,,,,,,
㈜에스티이공일,,,,,,,,,,,,,,,,,,,,,,
㈜버즈온라인,37.4793432,126.8768674,,,,,,,,,,,,,,,,,,,,
㈜달봉엔터프라이즈,37.5729503,126.9793579,,,,,,,,,,,,,,,,,,,,
퍼스트메디칼㈜,37.4518527,126.9020358,,,,,,,,,,,,,,,,,,,,
㈜앗코스텍,37.5791158,126.9367789,,,,,,,,,,,,,,,,,,,,
㈜레스버터,37.4784063,126.9516133,,,,,,,,,,,,,,,,,,,,
㈜로플랫,37.4993914,127.0343168,,,,,,,,,,,,,,,,,,,,
㈜팬타랩,37.5385765,127.0941535,,,,,,,,,,,,,,,,,,,,
㈜나인코퍼레이션,37.5046202,127.0455167,,,,,,,,,,,,,,,,,,,,
㈜퍼플오션,37.4518527,126.9020358,,,,,,,,,,,,,,,,,,,,
㈜스마트팩토리솔루션,37.4518527,126.9020358,,,,,,,,,,,,,,,,,,,,
㈜위즈데이타,37.5594081,126.9970124,,,,,,,,,,,,,,,,,,,,
㈜앱콘텍,37.5729503,126.9793579,,,,,,,,,,,,,,,,,,,,
㈜베링랩,37.4784063,126.9516133,,,,,,,,,,,,,,,,,,,,
아카이브웍스㈜,37.5263715,126.8962283,,,,,,,,,,,,,,,,,,,,
이비엠엔지니어링㈜,37.6007721,126.9229069,,,,,,,,,,,,,,,,,,,,
㈜주식회사 이제이엔,37.5090399,127.0583603,,,,,,,,,,,,,,,,,,,,
(주)알타바그룹(ALTAVA Group),37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
한경건설㈜,37.4733398,126.8854431,,,,,,,,,,,,,,,,,,,,
㈜오트웍스,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜아우라네트웍,37.4873998,127.0151589,,,,,,,,,,,,,,,,,,,,
㈜아이비베리,37.4867663,126.9945096,,,,,,,,,,,,,,,,,,,,
㈜맥클로린,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜인티그리트,37.5102905,127.0544484,,,,,,,,,,,,,,,,,,,,
㈜리매진,37.4518527,126.9020358,,,,,,,,,,,,,,,,,,,,
㈜쓰리디오엔에스,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜어썸스토리,37.5018872,127.0359555,,,,,,,,,,,,,,,,,,,,
㈜씨에스비전,,,,,,,,,,,,,,,,,,,,,,
㈜하늘정원디자인그룹,37.5413456,127.0556663,,,,,,,,,,,,,,,,,,,,
㈜짐티,37.5003478,127.0332726,,,,,,,,,,,,,,,,,,,,
㈜인티어리,37.523471,126.884139,,,,,,,,,,,,,,,,,,,,
주식회사 닥터나우,37.4993626,127.0258375,,,,,,,,,,,,,,,,,,,,
㈜르마스크코리아,37.5637561,126.9084211,,,,,,,,,,,,,,,,,,,,
널스노트㈜,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜오렌지디지트코리아,37.47703,126.8834054,,,,,,,,,,,,,,,,,,,,
㈜오리온코포레이션,,,,,,,,,,,,,,,,,,,,,,
㈜리연바이오케미칼,37.5581571,126.9387413,,,,,,,,,,,,,,,,,,,,
㈜블록펫,37.5637561,126.9084211,,,,,,,,,,,,,,,,,,,,
㈜테온,37.5509786,126.8495382,,,,,,,,,,,,,,,,,,,,
라피티㈜,37.5791158,126.9367789,,,,,,,,,,,,,,,,,,,,
주식회사 타입스,37.5637561,126.9084211,,,,,,,,,,,,,,,,,,,,
㈜아트랩,,,,,,,,,,,,,,,,,,,,,,
㈜클로버추얼패션,37.515687,127.022643,,,,,,,,,,,,,,,,,,,,
㈜더블센스,37.5263715,126.8962283,,,,,,,,,,,,,,,,,,,,
㈜도움이티에스,,,,,,,,,,,,,,,,,,,,,,
㈜패스트뷰,37.4954728,127.0292711,,,,,,,,,,,,,,,,,,,,
㈜휴먼이비즈,37.5102662,127.1063197,,,,,,,,,,,,,,,,,,,,
제일피씨텍㈜,37.4721338,127.0394147,,,,,,,,,,,,,,,,,,,,
㈜마루애니메이션,37.466882,126.888376,,,,,,,,,,,,,,,,,,,,
㈜매스프레소,37.5031401,127.0498638,,,,,,,,,,,,,,,,,,,,
㈜넥스트페이먼츠,37.5224393,127.0551421,,,,,,,,,,,,,,,,,,,,
㈜나인스,37.523105,126.8649042,,,,,,,,,,,,,,,,,,,,
피에스엑스㈜,37.5263715,126.8962283,,,,,,,,,,,,,,,,,,,,
㈜타르트,37.5640907,126.9979403,,,,,,,,,,,,,,,,,,,,
와이비에스에듀(사회적협동조합),37.5089788,127.117739,,,,,,,,,,,,,,,,,,,,
㈜비즈시스템즈,37.5263715,126.8962283,,,,,,,,,,,,,,,,,,,,
㈜지엘케이인터내셔날,,,,,,,,,,,,,,,,,,,,,,
와이어드컴퍼니,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
하트미디어㈜,37.5637561,126.9084211,,,,,,,,,,,,,,,,,,,,
"㈜히치메드(HitchMED Co.,Ltd.)",37.589116,127.0182146,,,,,,,,,,,,,,,,,,,,
㈜휴먼웍스,37.4975951,127.0387855,,,,,,,,,,,,,,,,,,,,
㈜케이씨넷,37.4801705,126.8811402,,,,,,,,,,,,,,,,,,,,
㈜넥스트앤바이오,37.4784063,126.9516133,,,,,,,,,,,,,,,,,,,,
㈜퀀텀에듀솔루션,37.4954031,126.887369,,,,,,,,,,,,,,,,,,,,
㈜레메디아,37.5051679,127.046945,,,,,,,,,,,,,,,,,,,,
㈜시니스트,37.5142879,127.0234618,,,,,,,,,,,,,,,,,,,,
기술법인제이티에스,37.4518527,126.9020358,,,,,,,,,,,,,,,,,,,,
㈜사고링크,37.4784063,126.9516133,,,,,,,,,,,,,,,,,,,,
㈜쓰리빌리언,37.5049581,127.0518948,,,,,,,,,,,,,,,,,,,,
㈜아펙스인포,37.5037197,127.0448433,,,,,,,,,,,,,,,,,,,,
㈜베가스,37.5211054,127.0222243,,,,,,,,,,,,,,,,,,,,
㈜해안해양기술,37.4683886,126.8977425,,,,,,,,,,,,,,,,,,,,
㈜크레인커뮤니케이션즈,37.4837121,127.0324112,,,,,,,,,,,,,,,,,,,,
㈜큐티스의생명연구센터,37.5263715,126.8962283,,,,,,,,,,,,,,,,,,,,
㈜하이템스,,,,,,,,,,,,,,,,,,,,,,
㈜아이엠플러스,37.5630541,126.9695398,,,,,,,,,,,,,,,,,,,,
㈜퍼플렉스,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
리서리스테라퓨틱스㈜,37.4784063,126.9516133,,,,,,,,,,,,,,,,,,,,
㈜태니지먼트랩,37.5007762,127.0325675,,,,,,,,,,,,,,,,,,,,
㈜유앤피플,37.4859741,126.8932881,,,,,,,,,,,,,,,,,,,,
윤디스크㈜,37.4781156,126.8815677,,,,,,,,,,,,,,,,,,,,
㈜큐렉스,37.4542703,126.9536417,,,,,,,,,,,,,,,,,,,,
㈜디페,37.5074142,127.0453827,,,,,,,,,,,,,,,,,,,,
㈜이비즈테크,37.5791192,126.8902941,,,,,,,,,,,,,,,,,,,,
㈜엠비티,37.5509786,126.8495382,,,,,,,,,,,,,,,,,,,,
㈜카이페리온,37.5204794,127.024426,,,,,,,,,,,,,,,,,,,,
㈜오아이디,37.515373,127.0267016,,,,,,,,,,,,,,,,,,,,
㈜판다인터내셔널,37.4518527,126.9020358,,,,,,,,,,,,,,,,,,,,
㈜삼가,37.5637561,126.9084211,,,,,,,,,,,,,,,,,,,,
세라펫바이오㈜,37.5145437,127.1065971,,,,,,,,,,,,,,,,,,,,
타이렌㈜,37.5791158,126.9367789,,,,,,,,,,,,,,,,,,,,
㈜보이스루,37.4962174,127.0289196,,,,,,,,,,,,,,,,,,,,
우경이앤씨㈜,,,,,,,,,,,,,,,,,,,,,,
㈜울림엔터테인먼트,37.5643528,126.9112992,,,,,,,,,,,,,,,,,,,,
㈜에이치앤씨건설연구소,37.5633415,127.0371025,,,,,,,,,,,,,,,,,,,,
에이아이링고㈜,37.5036414,127.0274771,,,,,,,,,,,,,,,,,,,,
㈜브랜뉴테크,37.5130883,127.0343825,,,,,,,,,,,,,,,,,,,,
㈜아이도트,37.4868358,127.1212484,,,,,,,,,,,,,,,,,,,,
데이코어㈜,37.5073392,127.0568029,,,,,,,,,,,,,,,,,,,,
지오스트㈜,37.5690467,126.8277258,,,,,,,,,,,,,,,,,,,,
㈜스터닝,37.5144642,127.0648882,,,,,,,,,,,,,,,,,,,,
㈜마르시끄,37.5848659,126.88598,,,,,,,,,,,,,,,,,,,,
㈜네오플러스,37.4858488,126.8972575,,,,,,,,,,,,,,,,,,,,
㈜옴니센스,37.4954031,126.887369,,,,,,,,,,,,,,,,,,,,
주식회사 오픈부스,37.5047331,127.0484548,,,,,,,,,,,,,,,,,,,,
㈜이투바이오,36.6424341,127.4890319,,,,,,,,,,,,,,,,,,,,
㈜하이스토리디앤씨,37.5384272,126.9654442,,,,,,,,,,,,,,,,,,,,
㈜한국환경안전연구원,37.479452,126.8846447,,,,,,,,,,,,,,,,,,,,
㈜엘베이스,37.5440572,127.0465124,,,,,,,,,,,,,,,,,,,,
마이휴㈜,37.591121,126.9421154,,,,,,,,,,,,,,,,,,,,
㈜라스텔,37.4851818,126.8773983,,,,,,,,,,,,,,,,,,,,
㈜샌드박스게이밍,37.4954031,126.887369,,,,,,,,,,,,,,,,,,,,
신창엔텍㈜,37.4692193,126.8953487,,,,,,,,,,,,,,,,,,,,
㈜씨소,37.564384,126.8482575,,,,,,,,,,,,,,,,,,,,
㈜썸플러스,37.5145437,127.1065971,,,,,,,,,,,,,,,,,,,,
㈜슈퍼노바 바이오,37.5384272,126.9654442,,,,,,,,,,,,,,,,,,,,
㈜인썸니아,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜지구와사람과동물,37.5263715,126.8962283,,,,,,,,,,,,,,,,,,,,
㈜라바웨이브,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜맵퍼스,37.5086554,127.1145412,,,,,,,,,,,,,,,,,,,,
㈜집꾸미기,37.5633415,127.0371025,,,,,,,,,,,,,,,,,,,,
㈜빌드비,37.4954031,126.887369,,,,,,,,,,,,,,,,,,,,
㈜볼트크리에이션,37.4826407,126.8984513,,,,,,,,,,,,,,,,,,,,
㈜수퍼트리,37.5074036,127.0652398,,,,,,,,,,,,,,,,,,,,
㈜팀즈아이앤씨,37.561672,127.0097756,,,,,,,,,,,,,,,,,,,,
㈜아이에스이커머스,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
주식회사 셀버스,37.5541914,127.012514,,,,,,,,,,,,,,,,,,,,
"㈜알디(RD Co.,Ltd.)",37.5637561,126.9084211,,,,,,,,,,,,,,,,,,,,
㈜에이엠사이언스,37.5145437,127.1065971,,,,,,,,,,,,,,,,,,,,
㈜오스랩스,37.5791192,126.8902941,,,,,,,,,,,,,,,,,,,,
블루시그넘㈜,37.4784063,126.9516133,,,,,,,,,,,,,,,,,,,,
㈜포스타입,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜에프지아이,37.4518527,126.9020358,,,,,,,,,,,,,,,,,,,,
"㈜케이프로시스템(Kpro system co.,Ltd)",37.5948387,127.0593957,,,,,,,,,,,,,,,,,,,,
㈜마도로스,37.5633415,127.0371025,,,,,,,,,,,,,,,,,,,,
(주)인앤아웃코퍼레이션,37.5554652,126.9737482,,,,,,,,,,,,,,,,,,,,
㈜유비아이코퍼레이션,37.5095687,127.057967,,,,,,,,,,,,,,,,,,,,
㈜애니파이브,37.4835267,126.8954883,,,,,,,,,,,,,,,,,,,,
비지에스코스메틱㈜,37.499931,126.9282263,,,,,,,,,,,,,,,,,,,,
㈜대림피앤씨,37.5014366,126.8968278,,,,,,,,,,,,,,,,,,,,
㈜후레쉬메이트,37.4918882,127.0839664,,,,,,,,,,,,,,,,,,,,
㈜소셜트러스트,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜삼영씨티,37.4518527,126.9020358,,,,,,,,,,,,,,,,,,,,
㈜유니드컴즈,37.5519706,126.9166523,,,,,,,,,,,,,,,,,,,,
㈜무무코스메틱,37.5256367,127.0431153,,,,,,,,,,,,,,,,,,,,
㈜부동산플래닛,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜보고넷,37.4847244,127.1175374,,,,,,,,,,,,,,,,,,,,
㈜코어웍스,37.5145437,127.1065971,,,,,,,,,,,,,,,,,,,,
디디에이치㈜,37.578224,126.9975445,,,,,,,,,,,,,,,,,,,,
㈜고클,37.4518527,126.9020358,,,,,,,,,,,,,,,,,,,,
㈜골라라,37.5640907,126.9979403,,,,,,,,,,,,,,,,,,,,
아이디아이디㈜,37.5132178,127.0293426,,,,,,,,,,,,,,,,,,,,
㈜에스에이치케이피,37.5093177,127.0251379,,,,,,,,,,,,,,,,,,,,
㈜태드건축사사무소,37.5637561,126.9084211,,,,,,,,,,,,,,,,,,,,
㈜비타메이트,37.5016208,127.0407561,,,,,,,,,,,,,,,,,,,,
㈜확실한방수,37.4698878,126.8856255,,,,,,,,,,,,,,,,,,,,
㈜잼팩토리,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜비에네스소프트,37.4850156,126.8987851,,,,,,,,,,,,,,,,,,,,
㈜위아프렌즈,37.5145437,127.1065971,,,,,,,,,,,,,,,,,,,,
㈜디어씨앤비,37.5459128,126.9529563,,,,,,,,,,,,,,,,,,,,
에코모터,37.4518527,126.9020358,,,,,,,,,,,,,,,,,,,,
㈜하늘컴퍼니,37.571493,126.8291154,,,,,,,,,,,,,,,,,,,,
주식회사 에리드,37.589116,127.0182146,,,,,,,,,,,,,,,,,,,,
㈜리오홀딩스,37.5051577,127.0211328,,,,,,,,,,,,,,,,,,,,
㈜한국파워셀,36.362216,127.3561329,,,,,,,,,,,,,,,,,,,,
㈜솜씨당컴퍼니,37.5637561,126.9084211,,,,,,,,,,,,,,,,,,,,
주식회사 포잉코퍼레이션,37.5568676,127.0085829,,,,,,,,,,,,,,,,,,,,
㈜유나이티드엑티브,37.4844473,126.8944933,,,,,,,,,,,,,,,,,,,,
㈜엑스텐게임즈,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜체인지건축사사무소,37.545619,126.916176,,,,,,,,,,,,,,,,,,,,
㈜엑소퍼트,37.5764938,127.0249987,,,,,,,,,,,,,,,,,,,,
㈜플레타커뮤니케이션즈,37.4854424,126.8981953,,,,,,,,,,,,,,,,,,,,
㈜캐스트,37.5145437,127.1065971,,,,,,,,,,,,,,,,,,,,
㈜조이펀,37.4928559,126.8770213,,,,,,,,,,,,,,,,,,,,
티모㈜,37.5637561,126.9084211,,,,,,,,,,,,,,,,,,,,
㈜로니에프앤,37.5145437,127.1065971,,,,,,,,,,,,,,,,,,,,
㈜엠디마케팅,37.5034362,127.0235513,,,,,,,,,,,,,,,,,,,,
㈜누리고그리다,,,,,,,,,,,,,,,,,,,,,,
㈜에스엔제이,37.4848766,126.8936745,,,,,,,,,,,,,,,,,,,,
㈜화이트큐브,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜커넥틀리,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜디지인,37.5263715,126.8962283,,,,,,,,,,,,,,,,,,,,
㈜제네시스랩,37.5640907,126.9979403,,,,,,,,,,,,,,,,,,,,
㈜한솔아이오티,37.5566676,127.0816721,,,,,,,,,,,,,,,,,,,,
주식회사 뮤즈그룹,37.4954172,127.0360298,,,,,,,,,,,,,,,,,,,,
㈜주식회사 엔테라퓨틱스,37.4784063,126.9516133,,,,,,,,,,,,,,,,,,,,
㈜오스티오뉴로젠,37.4772388,126.8835522,,,,,,,,,,,,,,,,,,,,
㈜팩토리유니콘,37.560746,127.0662025,,,,,,,,,,,,,,,,,,,,
㈜데니즈엠,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜에버바이오,37.4846066,127.0401381,,,,,,,,,,,,,,,,,,,,
㈜페어랩스,37.4128492,127.0993733,,,,,,,,,,,,,,,,,,,,
㈜가시,37.5263715,126.8962283,,,,,,,,,,,,,,,,,,,,
㈜무모스튜디오,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜뉴튠,37.5009452,127.0361278,,,,,,,,,,,,,,,,,,,,
㈜오몰래,37.5640907,126.9979403,,,,,,,,,,,,,,,,,,,,
㈜에쉬,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜상인의품격,37.5509786,126.8495382,,,,,,,,,,,,,,,,,,,,
㈜이코니크,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜아이쿱,,,,,,,,,,,,,,,,,,,,,,
㈜핀카,37.4837121,127.0324112,,,,,,,,,,,,,,,,,,,,
㈜홈버튼,37.4837121,127.0324112,,,,,,,,,,,,,,,,,,,,
㈜투비콤,37.4518527,126.9020358,,,,,,,,,,,,,,,,,,,,
더화이트커뮤니케이션㈜,37.5441847,127.0615341,,,,,,,,,,,,,,,,,,,,
㈜케이에스비튜젠,37.5384843,127.0822938,,,,,,,,,,,,,,,,,,,,
㈜비에스엔텍,37.5033766,127.0198006,,,,,,,,,,,,,,,,,,,,
㈜켐브레인,37.4518527,126.9020358,,,,,,,,,,,,,,,,,,,,
㈜퍼플민트,37.5143367,127.1005715,,,,,,,,,,,,,,,,,,,,
㈜퓨어네이처,37.5479967,126.9585368,,,,,,,,,,,,,,,,,,,,
㈜타우니,37.4837121,127.0324112,,,,,,,,,,,,,,,,,,,,
㈜와이즈덴(Wise Than Co. Ltd),37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
한국디지털포렌식센터㈜,37.4927585,127.012575,,,,,,,,,,,,,,,,,,,,
㈜예티소프트,37.5102085,127.0231367,,,,,,,,,,,,,,,,,,,,
캠핑톡㈜,37.5684498,126.9816138,,,,,,,,,,,,,,,,,,,,
피엔에스홀딩스㈜,,,,,,,,,,,,,,,,,,,,,,
㈜글림미디어그룹,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜아이디티씨,37.4846048,126.8791735,,,,,,,,,,,,,,,,,,,,
㈜아이티아이즈,37.5263715,126.8962283,,,,,,,,,,,,,,,,,,,,
㈜쿠쿠비타,37.5172363,127.0473248,,,,,,,,,,,,,,,,,,,,
㈜아이라이트,37.5119987,127.1209532,,,,,,,,,,,,,,,,,,,,
